optimizer,direction_seed,epsilon,sign,loss,baseline_loss,delta_loss
muon,2026,0.003,1,0.31996812764555216,0.3198715467005968,9.658094495534897e-05
muon,2026,0.003,-1,0.31973253935575485,0.3198715467005968,-0.0001390073448419571
muon,2026,0.01,1,0.32012084499001503,0.3198715467005968,0.0002492982894182205
muon,2026,0.01,-1,0.3192890025675297,0.3198715467005968,-0.000582544133067131
muon,2026,0.03,1,0.3213945496827364,0.3198715467005968,0.0015230029821395874
muon,2026,0.03,-1,0.31750517524778843,0.3198715467005968,-0.00236637145280838
muon,2026,0.1,1,0.33768875524401665,0.3198715467005968,0.017817208543419838
muon,2026,0.1,-1,0.31173382606357336,0.3198715467005968,-0.008137720637023449
muon,2027,0.001,1,0.32002243772149086,0.3198715467005968,0.0001508910208940506
muon,2027,0.001,-1,0.3197053577750921,0.3198715467005968,-0.00016618892550468445
muon,2027,0.003,1,0.320252881385386,0.3198715467005968,0.00038133468478918076
muon,2027,0.003,-1,0.3193547483533621,0.3198715467005968,-0.000516798347234726
muon,2027,0.01,1,0.3208109801635146,0.3198715467005968,0.0009394334629178047
muon,2027,0.01,-1,0.3181775454431772,0.3198715467005968,-0.0016940012574195862
muon,2027,0.03,1,0.3234989196062088,0.3198715467005968,0.003627372905611992
muon,2027,0.03,-1,0.31555801536887884,0.3198715467005968,-0.004313531331717968
muon,2027,0.1,1,0.3257984984666109,0.3198715467005968,0.005926951766014099
muon,2027,0.1,-1,0.31356904096901417,0.3198715467005968,-0.006302505731582642
muon,2028,0.001,1,0.3199127782136202,0.3198715467005968,4.1231513023376465e-05
muon,2028,0.001,-1,0.3198270630091429,0.3198715467005968,-4.4483691453933716e-05
muon,2028,0.003,1,0.31998457573354244,0.3198715467005968,0.00011302903294563293
muon,2028,0.003,-1,0.3197343563660979,0.3198715467005968,-0.0001371903344988823
muon,2028,0.01,1,0.32011787686496973,0.3198715467005968,0.000246330164372921
muon,2028,0.01,-1,0.3193415328860283,0.3198715467005968,-0.0005300138145685196
muon,2028,0.03,1,0.3201612839475274,0.3198715467005968,0.0002897372469305992
muon,2028,0.03,-1,0.3175279088318348,0.3198715467005968,-0.0023436378687620163
muon,2028,0.1,1,0.32374583976343274,0.3198715467005968,0.0038742930628359318
muon,2028,0.1,-1,0.31036788411438465,0.3198715467005968,-0.009503662586212158
muon,2029,0.001,1,0.31979008950293064,0.3198715467005968,-8.145719766616821e-05
muon,2029,0.001,-1,0.31993383541703224,0.3198715467005968,6.228871643543243e-05
muon,2029,0.003,1,0.319603081792593,0.3198715467005968,-0.00026846490800380707
muon,2029,0.003,-1,0.319975009188056,0.3198715467005968,0.00010346248745918274
muon,2029,0.01,1,0.31915375776588917,0.3198715467005968,-0.0007177889347076416
muon,2029,0.01,-1,0.3202319871634245,0.3198715467005968,0.0003604404628276825
muon,2029,0.03,1,0.3185236807912588,0.3198715467005968,-0.0013478659093379974
muon,2029,0.03,-1,0.3222454567439854,0.3198715467005968,0.002373910043388605
muon,2029,0.1,1,0.32238250970840454,0.3198715467005968,0.0025109630078077316
muon,2029,0.1,-1,0.33967220690101385,0.3198715467005968,0.019800660200417042
muon,2030,0.001,1,0.31973251700401306,0.3198715467005968,-0.00013902969658374786
muon,2030,0.001,-1,0.3200085014104843,0.3198715467005968,0.00013695470988750458
muon,2030,0.003,1,0.3194482661783695,0.3198715467005968,-0.0004232805222272873
muon,2030,0.003,-1,0.3202840704470873,0.3198715467005968,0.0004125237464904785
muon,2030,0.01,1,0.3183836108073592,0.3198715467005968,-0.0014879358932375908
muon,2030,0.01,-1,0.3212603535503149,0.3198715467005968,0.0013888068497180939
muon,2030,0.03,1,0.31661147251725197,0.3198715467005968,-0.003260074183344841
muon,2030,0.03,-1,0.32409895956516266,0.3198715467005968,0.004227412864565849
muon,2030,0.1,1,0.3150525949895382,0.3198715467005968,-0.004818951711058617
muon,2030,0.1,-1,0.3303363285958767,0.3198715467005968,0.010464781895279884
muon,2031,0.001,1,0.31965908594429493,0.3198715467005968,-0.00021246075630187988
muon,2031,0.001,-1,0.3200793182477355,0.3198715467005968,0.00020777154713869095
muon,2031,0.003,1,0.31922887079417706,0.3198715467005968,-0.000642675906419754
muon,2031,0.003,-1,0.3204882852733135,0.3198715467005968,0.000616738572716713
muon,2031,0.01,1,0.31784350890666246,0.3198715467005968,-0.0020280377939343452
muon,2031,0.01,-1,0.32183858193457127,0.3198715467005968,0.001967035233974457
muon,2031,0.03,1,0.31471630558371544,0.3198715467005968,-0.0051552411168813705
muon,2031,0.03,-1,0.3245195671916008,0.3198715467005968,0.00464802049100399
muon,2031,0.1,1,0.3117092754691839,0.3198715467005968,-0.008162271231412888
